,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-03 00:41:55, 1 min 16.413 sec,0.0,0.49999277367884754,0.49998554746213436,0.24999277373106726,0.5000072262167147,0.5,0.25000722626893285
1,,2018-10-03 00:41:55, 1 min 16.431 sec,5.0,0.3347577061526426,0.3341560507974317,0.11206272182857901,0.3720548497705772,0.3626792910841427,0.13842481123780676
2,,2018-10-03 00:41:55, 1 min 16.452 sec,10.0,0.22439331934286877,0.22333592719208167,0.05035236176571069,0.29405378669759535,0.26673706984590917,0.0864676294711949
3,,2018-10-03 00:41:55, 1 min 16.474 sec,15.0,0.1513142419965956,0.14984871781561324,0.022895999831004293,0.2512569133107401,0.20488901403621726,0.06313003648644078
4,,2018-10-03 00:41:55, 1 min 16.499 sec,20.0,0.10204888121610789,0.1004593948362976,0.010413974157459297,0.2309794411203233,0.1648032219437439,0.0533515022202569
5,,2018-10-03 00:41:55, 1 min 16.521 sec,25.0,0.06978017617164806,0.06773630279787285,0.00486927298654624,0.22257776034252943,0.1377955177920826,0.04954085939909647
6,,2018-10-03 00:41:55, 1 min 16.544 sec,30.0,0.04754761759116092,0.04550024227149064,0.0022607759385952753,0.2197917510662967,0.12081858992487901,0.04830841383678894
7,,2018-10-03 00:41:55, 1 min 16.568 sec,35.0,0.03268730932122558,0.03063372187241311,0.0010684601906614808,0.21882490935890153,0.10929029015959808,0.04788434095593147
8,,2018-10-03 00:41:55, 1 min 16.596 sec,40.0,0.022518980430452445,0.02060864458920845,0.0005071044796271002,0.21905031830022204,0.10190365924447475,0.047983041947428584
9,,2018-10-03 00:41:55, 1 min 16.621 sec,45.0,0.015527025981517839,0.013843328516300697,0.00024108853583073003,0.21798517361960332,0.0969354783167146,0.0475175359179686
10,,2018-10-03 00:41:55, 1 min 16.649 sec,50.0,0.010795852987496314,0.009388606500500808,0.0001165504417276331,0.21747438242403988,0.09375757674929401,0.04729510701071755
11,,2018-10-03 00:41:55, 1 min 16.665 sec,53.0,0.008771507090866524,0.0074590200296839725,7.693933664512171e-05,0.21747439696182558,0.09254616450414511,0.04729511333390969
