,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-03 00:40:20, 0.938 sec,0.0,,,,,,
1,,2018-10-03 00:40:20, 0.947 sec,1.0,0.32956673407632914,0.10861423220973783,0.10861423220973783,0.37000643495047747,0.13690476190476192,0.13690476190476192
2,,2018-10-03 00:40:20, 0.953 sec,2.0,0.35986734292584055,0.13963963963963963,0.12950450450450451,0.33629635456727464,0.16071428571428573,0.1130952380952381
3,,2018-10-03 00:40:20, 0.958 sec,3.0,0.29374889970117357,0.10106382978723404,0.08628841607565012,0.27458482368263804,0.13492063492063494,0.0753968253968254
4,,2018-10-03 00:40:20, 0.964 sec,4.0,0.2977452719896911,0.11080148619957536,0.08865224699221513,0.2714050741709047,0.14285714285714285,0.07366071428571429
5,,2018-10-03 00:40:20, 0.969 sec,5.0,0.28200487402027896,0.10296296296296296,0.07952674897119341,0.24152294576982397,0.125,0.058333333333333334
6,,2018-10-03 00:40:20, 0.974 sec,6.0,0.2671551496991269,0.09674738841405507,0.0713718740107629,0.23499971856337984,0.11904761904761904,0.05522486772486773
7,,2018-10-03 00:40:20, 0.980 sec,7.0,0.27246536245433794,0.11261072261072261,0.07423737373737374,0.23613135643685987,0.12840136054421766,0.05575801749271136
8,,2018-10-03 00:40:20, 0.986 sec,8.0,0.2660223793895697,0.11186868686868687,0.07076790633608816,0.2403262291731209,0.13169642857142858,0.05775669642857143
9,,2018-10-03 00:40:20, 0.994 sec,9.0,0.25784933903962437,0.11109595270577535,0.06648628164317115,0.22793580787205872,0.12896825396825398,0.05195473251028807
10,,2018-10-03 00:40:20, 1.001 sec,10.0,0.24677834217650288,0.10963657452155423,0.060899550167383146,0.22834810518779688,0.12738095238095237,0.05214285714285715
11,,2018-10-03 00:40:20, 1.008 sec,11.0,0.2381435350411431,0.10712036501510186,0.056712343281892154,0.22034908442801496,0.12283549783549784,0.04855371900826447
12,,2018-10-03 00:40:20, 1.015 sec,12.0,0.2354123874624431,0.10734153760469552,0.05541899217076744,0.21897428033843483,0.12202380952380952,0.04794973544973545
13,,2018-10-03 00:40:20, 1.024 sec,13.0,0.23092221670906188,0.10549137894151368,0.05332507016982694,0.21158008248555168,0.11767399267399267,0.04476613130459285
14,,2018-10-03 00:40:20, 1.031 sec,14.0,0.2329280716952165,0.11062218027224756,0.05425548658365192,0.21193437842411858,0.12117346938775508,0.044916180758017496
