,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-03 01:00:59,13.774 sec,0.0,,,,,,
1,,2018-10-03 01:00:59,14.042 sec,1.0,12204.783224104054,6585.719946509009,148956733.54737175,12503.76640080766,6534.168032637266,156344174.20596656
2,,2018-10-03 01:00:59,14.141 sec,2.0,12294.105398728205,6512.130340235827,151145027.555038,10977.111339495563,5692.328558520736,120496973.35968207
3,,2018-10-03 01:00:59,14.238 sec,3.0,10838.203134972726,5796.629134635796,117466647.19493261,9409.901691340627,5265.491828514409,88546249.84069517
4,,2018-10-03 01:00:59,14.329 sec,4.0,10298.17682581636,5595.712265304538,106052445.93578109,9446.860554088948,5063.170366804176,89243174.32840174
5,,2018-10-03 01:00:59,14.415 sec,5.0,9823.715833957227,5318.082540750675,96505392.78634194,9512.090589805939,5003.3797897196255,90479867.3886747
6,,2018-10-03 01:01:00,14.505 sec,6.0,9655.499494574811,5265.011208704929,93228670.48973444,9508.85099379539,4875.493950484327,90418247.22220357
7,,2018-10-03 01:01:00,14.583 sec,7.0,9264.585775768322,5092.06498944177,85832549.59656872,9368.985388896115,4759.005790272447,87777887.2173489
8,,2018-10-03 01:01:00,14.656 sec,8.0,9188.382651543488,5056.838492063492,84426375.75118536,8926.489271381099,4666.900915413259,79682210.71208185
9,,2018-10-03 01:01:00,14.728 sec,9.0,9148.925951368408,5040.262072672152,83702846.06362234,8694.496367474116,4616.1942101911345,75594267.08402058
10,,2018-10-03 01:01:00,14.818 sec,10.0,9072.578144004901,4998.174048201488,82311674.17907543,8661.613797358452,4616.239094443634,75023553.5745903
11,,2018-10-03 01:01:00,14.895 sec,11.0,8835.726837657767,4911.007718800404,78070068.74970573,8810.10019466037,4651.895841353813,77617865.43995468
12,,2018-10-03 01:01:00,14.972 sec,12.0,8662.103635705387,4852.4830978470045,75032039.3957005,8771.578542925045,4657.579915364584,76940590.13470306
13,,2018-10-03 01:01:00,15.053 sec,13.0,8584.499418734416,4832.515302599605,73693630.27025154,8573.807667286723,4513.730312893153,73510177.91562459
14,,2018-10-03 01:01:00,15.131 sec,14.0,8424.515433678293,4709.714262074295,70972460.29228376,8615.994995633038,4476.517029633668,74235369.76477356
15,,2018-10-03 01:01:00,15.227 sec,15.0,8327.712154901512,4659.515752228675,69350789.73489438,8550.820872951035,4406.0245093705125,73116537.6012951
16,,2018-10-03 01:01:00,15.367 sec,16.0,8123.9621680550545,4568.370124275693,65998761.307989776,8421.943642306216,4371.103712215602,70929134.7141821
17,,2018-10-03 01:01:00,15.500 sec,17.0,8094.0392270621405,4550.317955376473,65513471.0092207,8376.404227644927,4414.813199882654,70164147.7849078
18,,2018-10-03 01:01:01,15.628 sec,18.0,7978.169695424859,4475.989474196313,63651191.68899559,8105.191384984269,4342.828056874181,65694127.3872232
19,,2018-10-03 01:01:01,15.736 sec,19.0,7828.074223047605,4456.003096883613,61278746.041542366,8003.320446621995,4329.682511336688,64053138.17131768
