,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-10-03 01:01:35, 6.062 sec,0.0,28253.48360975768,22634.368158314726,798259336.086846,30822.058813633186,23900.68192924894,949999309.5110631
1,,2018-10-03 01:01:35, 6.169 sec,5.0,17407.1902216178,13846.00084310602,303010271.4115863,19840.287361014995,14958.387389223757,393637002.5676513
2,,2018-10-03 01:01:35, 6.276 sec,10.0,11199.390320227896,8721.85953599512,125426343.5448143,14019.5708553543,10000.481906813846,196548366.96829972
3,,2018-10-03 01:01:35, 6.380 sec,15.0,7651.516159752135,5652.860523149404,58545699.54294806,10965.36156895002,7269.464143564343,120239154.33780603
4,,2018-10-03 01:01:36, 6.487 sec,20.0,5754.944083715764,3920.2442907635404,33119381.406695064,9532.926673133286,5849.648650493767,90876690.95533606
5,,2018-10-03 01:01:36, 6.582 sec,25.0,4611.729856295062,2874.9805996909317,21268052.26744327,8743.268773769272,5152.630765905108,76444748.85036884
6,,2018-10-03 01:01:36, 6.695 sec,30.0,4004.5384381777535,2285.555662556481,16036328.10284312,8360.78084130089,4791.836902416809,69902656.27626403
7,,2018-10-03 01:01:36, 6.800 sec,35.0,3591.1523493585023,1894.4838666771084,12896375.196303092,8151.900330970314,4593.1138712750635,66453479.00607391
8,,2018-10-03 01:01:36, 6.901 sec,40.0,3291.9432613865392,1659.0458469349494,10836890.436188243,7998.716424958731,4478.729175578312,63979464.446904585
9,,2018-10-03 01:01:36, 7.000 sec,45.0,3056.757724182642,1508.1599150593524,9343767.784350246,7912.696278148935,4453.622411707873,62610762.390232
10,,2018-10-03 01:01:36, 7.087 sec,50.0,2897.6076039700683,1425.615725216276,8396129.82658516,7918.698168452511,4458.47368671583,62705780.68305315
11,,2018-10-03 01:01:36, 7.185 sec,55.0,2725.0773634195543,1332.4594074061015,7426046.636621671,7876.408726107091,4449.604086506356,62037814.42069592
12,,2018-10-03 01:01:36, 7.243 sec,58.0,2675.289922179095,1317.0569877596067,7157176.1677130265,7857.933854165486,4427.618480308003,61747124.45644005
