,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_grid_0_AutoML_20181003_010045_model_2,54573818.69888221,7387.409471450883,54573818.69888221,4131.771195276093,
5,XRT_0_AutoML_20181003_010045,61487944.09608602,7841.42487664621,61487944.09608602,4263.158954260977,2.07110788535308
6,DRF_0_AutoML_20181003_010045,61751817.69831815,7858.232479274086,61751817.69831815,4331.268801979419,2.044907628463974
11,DeepLearning_0_AutoML_20181003_010045,113427444.54310624,10650.232135644095,113427444.54310624,6823.142070045866,
16,StackedEnsemble_BestOfFamily_0_AutoML_20181003_010045,798259336.086846,28253.48360975768,798259336.086846,22634.368158314726,5.8200088504099545
18,GLM_grid_0_AutoML_20181003_010045_model_0,800278414.1011372,28289.192531798028,800278414.1011372,22660.4370265102,5.820571544226465
