,,timestamp,duration,training_speed,epochs,iterations,samples,training_rmse,training_deviance,training_mae,training_r2,validation_rmse,validation_deviance,validation_mae,validation_r2
0,,2018-10-03 01:01:58, 0.000 sec,,0.0,0,0.0,,,,,,,,
1,,2018-10-03 01:01:58, 1.710 sec,28454 obs/sec,1.0140388768898487,1,939.0,12823.312249277198,164437337.04246265,8902.206762180784,0.7940051188770902,14445.70873998689,208678501.00053364,10162.439604697405,0.7780970177439246
2,,2018-10-03 01:01:58, 1.915 sec,46551 obs/sec,11.311015118790497,11,10474.0,7040.296613681006,49565776.40860824,4508.0270548660055,0.9379076771571692,10218.328253992759,104414232.30634671,6497.6815907939745,0.8889687752803164
