,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_classification_error,validation_rmse,validation_logloss,validation_classification_error
0,,2018-10-03 00:52:36, 0.527 sec,0.0,,,,,,
1,,2018-10-03 00:52:36, 0.533 sec,1.0,0.0,0.0,0.0,0.24253562503633297,2.031692729112393,0.058823529411764705
2,,2018-10-03 00:52:36, 0.536 sec,2.0,0.2154692426086674,1.1479104544954133,0.03125,0.2426383653512765,2.037649577579346,0.058823529411764705
3,,2018-10-03 00:52:36, 0.539 sec,3.0,0.20169824912019096,1.0055079621649246,0.0273972602739726,0.24258154966689593,2.0356695416267843,0.058823529411764705
4,,2018-10-03 00:52:36, 0.542 sec,4.0,0.07653863484957536,0.018524519686002903,0.0,0.18704478306962266,0.09303401009176565,0.058823529411764705
5,,2018-10-03 00:52:36, 0.545 sec,5.0,0.1014873918461277,0.03648843368240638,0.0,0.19921713132733773,0.11206356824844288,0.058823529411764705
6,,2018-10-03 00:52:36, 0.547 sec,6.0,0.08834866983874068,0.029823218188028147,0.0,0.1800569547658121,0.09228911529037089,0.058823529411764705
7,,2018-10-03 00:52:36, 0.550 sec,7.0,0.09772079584433804,0.03548973824894963,0.010309278350515464,0.16480082465988302,0.0823341757242421,0.058823529411764705
8,,2018-10-03 00:52:36, 0.555 sec,8.0,0.07511135978515507,0.02633354076620942,0.0,0.15256768815633534,0.0738628796171354,0.029411764705882353
9,,2018-10-03 00:52:36, 0.557 sec,9.0,0.07006327794314059,0.023672613339468754,0.0,0.1345172787958289,0.06243070858608603,0.0
10,,2018-10-03 00:52:36, 0.560 sec,10.0,0.06922109717670409,0.02246841573340676,0.0,0.13014807913986462,0.05978918052584734,0.0
11,,2018-10-03 00:52:36, 0.563 sec,11.0,0.06705733489748224,0.020998914993884402,0.0,0.12816575678808922,0.05827700436862848,0.0
12,,2018-10-03 00:52:36, 0.566 sec,12.0,0.06702031750872092,0.02065102597664809,0.0,0.12607098438979886,0.05637298736762588,0.029411764705882353
13,,2018-10-03 00:52:36, 0.569 sec,13.0,0.06315499344838149,0.01904576463179427,0.0,0.12529712213327782,0.05516828077451382,0.029411764705882353
