,model_id,mean_per_class_error,logloss,rmse,mse
0,DRF_0_AutoML_20181003_005235,0.0,0.029692239542158782,0.06992900772018093,0.004890066120729125
1,GBM_grid_0_AutoML_20181003_005235_model_1,0.0,2.6371560739252574e-07,2.265790444661191e-06,5.13380633911796e-12
6,GLM_grid_0_AutoML_20181003_005235_model_0,0.0,0.007728962230272829,0.02986393348802447,0.0008918545233771496
27,XRT_0_AutoML_20181003_005235,0.0,0.031096628726844832,0.07951273195065682,0.006322274542257003
55,DeepLearning_0_AutoML_20181003_005235,0.011111111111111113,0.11938653492504002,0.14449267231179594,0.02087813235180405
66,StackedEnsemble_BestOfFamily_0_AutoML_20181003_005235,0.6666666666666666,1.0899254380941141,0.6623274334940821,0.4386776291588575
