,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_classification_error,validation_rmse,validation_logloss,validation_classification_error
0,,2018-10-03 00:52:36, 0.253 sec,0.0,,,,,,
1,,2018-10-03 00:52:36, 0.257 sec,1.0,0.0,0.0,0.0,0.24253562503633297,2.031692729112393,0.058823529411764705
2,,2018-10-03 00:52:36, 0.259 sec,2.0,0.0,0.0,0.0,0.24253562503633297,2.031692729112393,0.058823529411764705
3,,2018-10-03 00:52:36, 0.262 sec,3.0,0.0,0.0,0.0,0.25,2.048615203962498,0.058823529411764705
4,,2018-10-03 00:52:36, 0.265 sec,4.0,0.08529438595319316,0.02133046987176256,0.0,0.2520504151250418,2.057944911619947,0.058823529411764705
5,,2018-10-03 00:52:36, 0.267 sec,5.0,0.07284138703661695,0.016899746031194093,0.0,0.2060363569668151,0.12388610581995542,0.058823529411764705
6,,2018-10-03 00:52:36, 0.269 sec,6.0,0.0754341985084257,0.020706698605036957,0.0,0.18814597874944414,0.10595423208879721,0.058823529411764705
7,,2018-10-03 00:52:36, 0.271 sec,7.0,0.06719619003016848,0.017398021857686508,0.0,0.16579034092686376,0.08659885423163625,0.058823529411764705
8,,2018-10-03 00:52:36, 0.274 sec,8.0,0.053379465051572005,0.013587416568504982,0.0,0.15146621454431483,0.07602330769892562,0.058823529411764705
9,,2018-10-03 00:52:36, 0.277 sec,9.0,0.04772011745824276,0.011934452341148866,0.0,0.1414666215532201,0.0741750786539838,0.029411764705882353
