,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-10-03 00:33:41,53.672 sec,0.0,,,,,,,,,,
1,,2018-10-03 00:33:42,53.915 sec,1.0,0.5309894918703526,6.35971894163746,0.654926805028273,1.232837133064798,0.36062821927888156,0.5325955029809064,6.383452442387348,0.6545616184429092,1.235685099588633,0.3606925405626042
2,,2018-10-03 00:33:42,54.109 sec,2.0,0.5157612082457985,5.270727090462517,0.6686634385910863,1.266405095692888,0.3603355100202657,0.47910845083808595,2.27000439056775,0.6963608275634516,1.3735038508299922,0.3606925405626042
3,,2018-10-03 00:33:42,54.360 sec,3.0,0.5104633737874801,4.78494189064348,0.6724258332883728,1.2787162948260897,0.35957883808062113,0.46441986547352904,1.4542252439526293,0.7110855862188763,1.4218302274912862,0.3606925405626042
4,,2018-10-03 00:33:42,54.587 sec,4.0,0.49731221296579786,3.908099153405235,0.6843381410105166,1.3079725866069527,0.3594465878948638,0.45335478545780616,1.0505846395361624,0.7254445761707172,1.4591590101112701,0.3606925405626042
5,,2018-10-03 00:33:43,54.813 sec,5.0,0.48880597624406785,3.291641601805648,0.691620659448502,1.3261843713084438,0.36046500726573855,0.44783824877494194,0.8923857895469945,0.7329443887668464,1.4750466794747898,0.35637266573692983
6,,2018-10-03 00:33:43,55.048 sec,6.0,0.4808228072162784,2.76828790800362,0.6990122364942556,1.349848975918926,0.360623799177605,0.4437429137686288,0.79536506307088,0.7389219601110234,1.4904200208858502,0.3541617061804823
7,,2018-10-03 00:33:43,55.292 sec,7.0,0.4747792287932153,2.365416058094494,0.7043178139710967,1.3685945385017524,0.3605614762013449,0.4409405330597512,0.7369322681528621,0.7437206130911362,1.5012810357648099,0.35127045137589713
8,,2018-10-03 00:33:43,55.538 sec,8.0,0.4685743082509289,2.024990415910917,0.7108075390937824,1.3883424171320489,0.3603155770712993,0.43804087757483323,0.6908714410124844,0.7489143972233521,1.5116217140035781,0.3485152556209395
9,,2018-10-03 00:33:44,55.825 sec,9.0,0.4638191063371505,1.750069462594026,0.7159075113301211,1.4050050751592604,0.3606139424686462,0.43679958871261026,0.6647436040211316,0.7509059283746922,1.5167513589044697,0.3462022517772713
10,,2018-10-03 00:33:44,56.117 sec,10.0,0.4600057198956379,1.5393760416201123,0.7198178422660446,1.419106567482983,0.36065041761319966,0.4355395745533721,0.6487572102892115,0.752930989013768,1.5196397500487993,0.3465083846389333
11,,2018-10-03 00:33:44,56.404 sec,11.0,0.45605070723747443,1.3550680577680732,0.7244506652862222,1.4332866222897684,0.3606773603369783,0.4344892428693051,0.6306851838049894,0.7546199394306675,1.5239510973863195,0.3471546651246641
12,,2018-10-03 00:33:44,56.673 sec,12.0,0.4527556093130507,1.22098995170006,0.7287345984376552,1.4448402963400955,0.3606934551351168,0.4335013745572218,0.6201860639124952,0.756552690492397,1.5260819795203375,0.3511003775638627
13,,2018-10-03 00:33:45,56.969 sec,13.0,0.45017255359780367,1.1192513084240967,0.7322124697147141,1.453760041157185,0.36066768962097,0.43276112049393256,0.6120572482782938,0.758266093727625,1.527422405133153,0.34722269464947786
14,,2018-10-03 00:33:45,57.269 sec,14.0,0.44803791986328956,1.030940323799532,0.7349614978741706,1.4627524582516707,0.3607176741664408,0.4323670039434785,0.604992720589777,0.7588524119505367,1.529446315074012,0.34130412599067994
15,,2018-10-03 00:33:45,57.563 sec,15.0,0.44594357122705647,0.9638725757518676,0.7380060860689327,1.4704246264174337,0.36068350014394823,0.4316608362505961,0.60045867608163,0.7601255590882147,1.5295468289285916,0.3310656825062077
16,,2018-10-03 00:33:49, 1 min  1.666 sec,43.0,0.4297893318922765,0.5912993014552086,0.7640788875832045,1.5306915281955462,0.3403420335943976,0.4266297038947907,0.538958220775952,0.7714380319372321,1.5516933484447069,0.32783428007755366
17,,2018-10-03 00:33:51, 1 min  2.894 sec,50.0,0.42853267315972926,0.5764270639509806,0.7666965173504592,1.5350665803149202,0.334235499095015,0.4262562656906616,0.5378285053479273,0.7722659079795314,1.5490062684508634,0.32154154903228
