,,timestamp,duration,number_of_trees,training_rmse,training_logloss,training_auc,training_lift,training_classification_error,validation_rmse,validation_logloss,validation_auc,validation_lift,validation_classification_error
0,,2018-10-03 00:36:11,29.851 sec,0.0,0.48018887992351145,0.6537908188528746,0.5,1.0,0.36064922103625013,0.4802014510824388,0.6538156213374107,0.5,1.0,0.3606925405626042
1,,2018-10-03 00:36:11,30.049 sec,5.0,0.4491774897131717,0.5886117510744289,0.7728802894446286,1.5614534793162445,0.33341509210548576,0.4510116144918424,0.5922875109157918,0.7570827348702358,1.548756493188278,0.34327698221027925
2,,2018-10-03 00:36:12,30.302 sec,10.0,0.4336451065709014,0.5537224068539193,0.7864875760508686,1.5627644860021892,0.3214895884432566,0.437016985093134,0.5605089501209816,0.7693575780254887,1.564192604416068,0.3378686349875846
3,,2018-10-03 00:36:12,30.575 sec,15.0,0.42591927522774314,0.5345586946633258,0.7912265354676071,1.5640866217771487,0.32174332256372956,0.4306140384326656,0.5441539552001566,0.7727287152604152,1.564192604416068,0.33011326915881495
4,,2018-10-03 00:36:12,30.849 sec,20.0,0.4218378366738899,0.5237157128200871,0.7947651233267206,1.5640866217771487,0.3107228039311873,0.42789937676161655,0.5362367091208423,0.7738832686125159,1.564192604416068,0.3275281472158917
5,,2018-10-03 00:36:12,31.116 sec,25.0,0.4191517421443937,0.5166312978485352,0.7979676793352194,1.5640866217771487,0.2990087453693523,0.42664073648494477,0.5323666214483112,0.7744982719205581,1.55887222140785,0.331269771080649
6,,2018-10-03 00:36:13,31.417 sec,30.0,0.4167549214610442,0.5107769924350711,0.8015471945044836,1.5640866217771487,0.2964121995365123,0.4254118444144737,0.5290106960825937,0.7756855594856011,1.55887222140785,0.3323242287152624
7,,2018-10-03 00:36:13,31.684 sec,35.0,0.4146641846786128,0.5057917385041295,0.8050136109587049,1.5640866217771487,0.29516890234619486,0.4244241292242548,0.5263408631146084,0.7770690767155684,1.55887222140785,0.3305554610701044
8,,2018-10-03 00:36:13,31.955 sec,40.0,0.4129882857759795,0.5018597770120891,0.808390417068359,1.5640866217771487,0.2923439958049292,0.4240826296332482,0.5251937335748305,0.7774806151141949,1.564192604416068,0.3248409809857478
9,,2018-10-03 00:36:14,32.230 sec,45.0,0.41153819018923604,0.498751208193544,0.8113860060394668,1.5627644860021892,0.287159361943265,0.4236971204933488,0.5241712331529996,0.7780647858442893,1.564192604416068,0.32558930575869927
10,,2018-10-03 00:36:14,32.484 sec,50.0,0.41038819822625255,0.49618242542164975,0.813546892690332,1.5627644860021892,0.283700120100817,0.42344478288328363,0.5234555998866335,0.7784950144549347,1.564192604416068,0.3272900438790435
11,,2018-10-03 00:36:14,32.745 sec,55.0,0.40935282270448126,0.4940047711252787,0.815711930287843,1.5627644860021892,0.28051998579088927,0.4230878715062944,0.5225953917971556,0.7793244910818337,1.564192604416068,0.32232388856763833
12,,2018-10-03 00:36:14,32.992 sec,60.0,0.40820945401420916,0.4916831852412161,0.818425316778958,1.5627644860021892,0.27762741681749753,0.4228219654576159,0.5220053742755945,0.780235384279289,1.564192604416068,0.3217456376067213
13,,2018-10-03 00:36:15,33.253 sec,65.0,0.40700037368649944,0.48924157161485804,0.8207965605620929,1.5640866217771487,0.27596122942639173,0.42257867855446296,0.5213935116560781,0.7807937800780703,1.564192604416068,0.32106534235858364
14,,2018-10-03 00:36:15,33.498 sec,70.0,0.40597793831081985,0.4871171998456321,0.8229733037981214,1.5640866217771487,0.2767900942199367,0.42240510569479556,0.5209005545876932,0.7811335781675846,1.564192604416068,0.31987482567434267
15,,2018-10-03 00:36:15,33.747 sec,75.0,0.4050684104456557,0.48528406974722393,0.8249664450487524,1.5640866217771487,0.27253581880000677,0.4222110050539752,0.5205173668605236,0.7817127916011757,1.564192604416068,0.3192285451886119
16,,2018-10-03 00:36:15,33.963 sec,79.0,0.4043650958081797,0.48388622801433406,0.8265058141501503,1.5640866217771487,0.27056515046433344,0.4221310599344992,0.5203521737712072,0.7819389180790697,1.553551838399632,0.3217116228443144
